Depart;Arrivee;Distance;Tensions;Gabarit;Commentaire;Exploitee
Bordeaux St-Jean;Paris Austerlitz;584 km;1.5kVcc;Gabarit continental;;
Paris Austerlitz;Juvisy;19 km;1.5kVcc;Gabarit continental;;
Juvisy;Paris Gare de Lyon;21 km;1.5kVcc;Gabarit continental;;
St Pierre des Corps;Tours;4 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;St Pierre des Corps;351 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Agen;135 km;1.5kVcc;Gabarit continental;;
Agen;Montauban-Ville-Bourbon;70 km;1.5kVcc;Gabarit continental;;
Montauban-Ville-Bourbon;Toulouse-Matabiau;51 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Toulouse-Matabiau;256 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Lyon Perrache;511 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Laroche-Migennes;155 km;1.5kVcc;Gabarit continental;;
Paris Montparnasse;Massy;14 km;1.5kVcc;Gabarit continental;;
Paris Austerlitz;Massy;26 km;1.5kVcc;Gabarit continental;;
Paris Austerlitz;Les Aubrais - Orléans;119 km;1.5kVcc;Gabarit continental;;
St Pierre des Corps;Les Aubrais - Orléans;114 km;1.5kVcc;Gabarit continental;;
Les Aubrais - Orléans;Vierzon-Ville;82 km;1.5kVcc;Gabarit continental;;
Vierzon-Ville;Limoges-Bénédictins;200 km;1.5kVcc;Gabarit continental;;
Limoges-Bénédictins;Brive-la-Gaillarde;99 km;1.5kVcc;Gabarit continental;;
Montauban-Ville-Bourbon;Brive-la-Gaillarde;164 km;1.5kVcc;Gabarit continental;;
Paris Austerlitz;Toulouse-Matabiau;713 km;1.5kVcc;Gabarit continental;;
Paris Nord;Lille Flandres;251 km;25kVac;Gabarit continental;;
Lille Flandres;Bruxelles-Midi;109 km;3kVcc & 25kVac;Gabarit continental;;
Paris Est;Strasbourg-Ville;502 km;25kVac;Gabarit continental;;
Paris Nord;Aulnay sous Bois;14 km;25kVac;Gabarit continental;;
Aulnay sous Bois;Bondy;8 km;25kVac;Gabarit continental;;
Paris Est;Bondy;10 km;25kVac;Gabarit continental;;
Paris Nord;Ermont-Eaubonne;14 km;25kVac;Gabarit continental;;
Ermont-Eaubonne;Paris St-Lazare;14 km;25kVac;Gabarit continental;;
Paris St-Lazare;Chaville Rive-Droite;18 km;25kVac;Gabarit continental;;
Chaville Rive-Droite;Versailles-Chantiers;4 km;25kVac;Gabarit continental;;
Paris Montparnasse;Versailles-Chantiers;17 km;1.5kVcc;Gabarit continental;;
Juvisy;Massy;17 km;1.5kVcc;Gabarit continental;;
Paris St-Lazare;Rouen Rive Droite;140 km;25kVac;Gabarit continental;;
Bruxelles-Midi;Amsterdam Centraal;250 km;1.5kVcc & 3kVcc;Gabarit continental;;
Paris Nord;Dunkerque;305 km;25kVac;Gabarit continental;;
Bordeaux St-Jean;Arcachon;58 km;1.5kVcc;Gabarit continental;;
Dover;Faversham;41 km;750Vcc 3eme rail;Gabarit britannique;;
Faversham;London Victoria;84 km;750Vcc 3eme rail;Gabarit britannique;;
Dover;London Victoria;125 km;750Vcc 3eme rail;Gabarit britannique;;
Paris Nord;London Victoria;509 km;750Vcc 3eme rail & 25kVac;Gabarit britannique;;
Lyon Perrache;Ambérieu;51 km;1.5kVcc;Gabarit continental;;
Ambérieu;Culoz;50 km;1.5kVcc;Gabarit continental;;
Culoz;Chambéry-Challes les Eaux;36 km;1.5kVcc;Gabarit continental;;
Chambéry-Challes les Eaux;St Jean de Maurienne;70 km;1.5kVcc;Gabarit continental;;
St Jean de Maurienne;Modane;28 km;1.5kVcc;Gabarit continental;;
London Waterloo;Clapham Junction;6 km;750Vcc 3eme rail;Gabarit britannique;;
London Victoria;Clapham Junction;5 km;750Vcc 3eme rail;Gabarit britannique;;
Lille Flandres;Calais-Ville;105 km;Non-electrifie;Gabarit continental;;
London Waterloo;Folkestone;110 km;750Vcc 3eme rail;Gabarit britannique;;
London Waterloo;London Bridge;2 km;750Vcc 3eme rail;Gabarit britannique;;
London Bridge;London Blackfriars;2 km;750Vcc 3eme rail;Gabarit britannique;;
London St Pancras;London Blackfriars;3 km;750Vcc 3eme rail;Gabarit britannique;;
Strasbourg-Ville;Bâle-CFF/SNCF;142 km;25kVac;Gabarit continental;;
Lyon Perrache;Genève-Cornavin;168 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Hendaye;233 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Genève-Cornavin;668 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Périgueux;128 km;Non-electrifie;Gabarit continental;;
Limoges-Bénédictins;Périgueux;99 km;Non-electrifie;Gabarit continental;;
Bordeaux St-Jean;Limoges-Bénédictins;227 km;Non-electrifie;Gabarit continental;;
Lille Flandres;Dunkerque;89 km;25kVac;Gabarit continental;;
Dunkerque;Calais-Ville;46 km;Non-electrifie;Gabarit continental;;
Agen;Périgueux;153 km;Non-electrifie;Gabarit continental;;
Toulouse-Matabiau;Montpellier St Roch;247 km;1.5kVcc;Gabarit continental;;
Strasbourg-Ville;Kehl;8 km;15kVac & 25kVac;Gabarit continental;;
Paris Montparnasse;Chartres;87 km;1.5kVcc;Gabarit continental;;
Chartres;Le Mans;124 km;1.5kVcc;Gabarit continental;;
Paris Montparnasse;Le Mans;211 km;1.5kVcc;Gabarit continental;;
Lyon Perrache;Valence-Ville;106 km;1.5kVcc;Gabarit continental;;
Valence-Ville;Avignon-Centre;124 km;1.5kVcc;Gabarit continental;;
Avignon-Centre;Marseille St Charles;121 km;1.5kVcc;Gabarit continental;;
Lyon Perrache;Marseille St Charles;351 km;1.5kVcc;Gabarit continental;;
